kr_name,month, monthly_target 
KR-5.1.2,"June, 2026",90
KR-5.1.2,"July, 2026",90
KR-5.1.2,"August, 2026",90
KR-5.1.2,"September, 2026",90
KR-5.1.2,"October, 2026",90
KR-5.1.2,"November, 2026",90
KR-5.1.2,"December, 2026",90
KR-5.1.3,"January, 2026",95
KR-5.1.3,"February, 2026",95
KR-5.1.3,"March, 2026",95
KR-5.1.3,"April, 2026",95
KR-5.1.3,"May, 2026",95
KR-5.1.3,"June, 2026",95
KR-5.1.3,"July, 2026",95
KR-5.1.3,"August, 2026",95
KR-5.1.3,"September, 2026",95
KR-5.1.3,"October, 2026",95
KR-5.1.3,"November, 2026",95
KR-5.1.3,"December, 2026",95
KR-5.1.4,"January, 2026",80
KR-5.1.4,"February, 2026",80
KR-5.1.4,"March, 2026",80
KR-5.1.4,"April, 2026",80
KR-5.1.4,"May, 2026",80
KR-5.1.4,"June, 2026",80
KR-5.1.4,"July, 2026",80
KR-5.1.4,"August, 2026",80
KR-5.1.4,"September, 2026",80
KR-5.1.4,"October, 2026",80
KR-5.1.4,"November, 2026",80
KR-5.1.4,"December, 2026",80
KR-5.2.1,"January, 2026",4.7
KR-5.2.1,"February, 2026",4.7
KR-5.2.1,"March, 2026",4.7
KR-5.2.1,"April, 2026",4.7
KR-5.2.1,"May, 2026",4.7
KR-5.2.1,"June, 2026",4.7
KR-5.2.1,"July, 2026",4.7
KR-5.2.1,"August, 2026",4.7
KR-5.2.1,"September, 2026",4.7
KR-5.2.1,"October, 2026",4.7
KR-5.2.1,"November, 2026",4.7
KR-5.2.1,"December, 2026",4.7
KR-5.2.2,"January, 2026",15
KR-5.2.2,"February, 2026",15
KR-5.2.2,"March, 2026",15
KR-5.2.2,"April, 2026",15
KR-5.2.2,"May, 2026",15
KR-5.2.2,"June, 2026",15
KR-5.2.2,"July, 2026",15
KR-5.2.2,"August, 2026",15
KR-5.2.2,"September, 2026",15
KR-5.2.2,"October, 2026",15
KR-5.2.2,"November, 2026",15
KR-5.2.2,"December, 2026",15
KR-5.3.1,"January, 2026",40
KR-5.3.1,"February, 2026",40
KR-5.3.1,"March, 2026",39
KR-5.3.1,"April, 2026",39
KR-5.3.1,"May, 2026",38
KR-5.3.1,"June, 2026",37
KR-5.3.1,"July, 2026",36
KR-5.3.1,"August, 2026",36
KR-5.3.1,"September, 2026",35
KR-5.3.1,"October, 2026",34
KR-5.3.1,"November, 2026",33
KR-5.3.1,"December, 2026",33
KR-5.3.2,"January, 2026",17
KR-5.3.2,"February, 2026",17
KR-5.3.2,"March, 2026",17
KR-5.3.2,"April, 2026",17
KR-5.3.2,"May, 2026",16
KR-5.3.2,"June, 2026",16
KR-5.3.2,"July, 2026",16
KR-5.3.2,"August, 2026",15
KR-5.3.2,"September, 2026",15
KR-5.3.2,"October, 2026",15
KR-5.3.2,"November, 2026",14
KR-5.3.2,"December, 2026",14
KR-5.4.1,"January, 2026",1
KR-5.4.1,"February, 2026",1
KR-5.4.1,"March, 2026",1
KR-5.4.1,"April, 2026",2
KR-5.4.1,"May, 2026",2
KR-5.4.1,"June, 2026",2
KR-5.4.1,"July, 2026",3
KR-5.4.1,"August, 2026",3
KR-5.4.1,"September, 2026",3
KR-5.4.1,"October, 2026",4
KR-5.4.1,"November, 2026",5
KR-5.4.1,"December, 2026",5
KR-5.4.2,"January, 2026",0.2
KR-5.4.2,"February, 2026",0.4
KR-5.4.2,"March, 2026",0.5
KR-5.4.2,"April, 2026",0.7
KR-5.4.2,"May, 2026",1
KR-5.4.2,"June, 2026",1.3
KR-5.4.2,"July, 2026",1.7
KR-5.4.2,"August, 2026",2.2
KR-5.4.2,"September, 2026",2.4
KR-5.4.2,"October, 2026",2.7
KR-5.4.2,"November, 2026",2.9
KR-5.4.2,"December, 2026",3
